,0,1,2,3,4
81,沾仔記 (威靈頓街),https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/tsim-chai-kee-wellington-street,麵食,"中環威靈頓街98號, Hong Kong, 香港",page - 5
82,合益泰小食,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/hop-yik-tai,街頭小吃,"深水埗桂林街121號, Hong Kong, 香港",page - 5
83,家全七福,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/seventh-son,粵菜,"灣仔駱克道57-73號華美粵海酒店3樓, Hong Kong, 香港",page - 5
84,新同樂,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/sun-tung-lok,粵菜,"尖沙咀彌敦道132號美麗華廣場一期食四方4樓401號舖, Hong Kong, 香港",page - 5
85,翠亨邨 (尖沙咀),https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/tsui-hang-village-tsim-sha-tsui,粵菜,"尖沙咀彌敦道132號美麗華廣場一期食四方5樓507號舖, Hong Kong, 香港",page - 5
86,文華扒房+酒吧,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/mandarin-grill-bar,時尚歐陸菜,"中環干諾道中5號文華東方酒店1樓, Hong Kong, 香港",page - 5
87,公和荳品廠,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/kung-wo-tofu,街頭小吃,"深水埗北河街118號, Hong Kong, 香港",page - 5
88,阿元來了 (西環),https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/yuan-is-here-western-district,台灣菜,"西環北街31號地下, Hong Kong, 香港",page - 5
89,阿一海景飯店,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/ah-yat-harbour-view-tsim-sha-tsui,粵菜,"尖沙咀彌敦道63號iSquare29樓, Hong Kong, 香港",page - 5
90,新榮記,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/xin-rong-ji,台州菜,"灣仔駱克道138號中國海外大廈地下及1樓, Hong Kong, 香港",page - 5
91,Poem,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/poem,峇里菜,"中環雲咸街33號LKF Tower 5樓, Hong Kong, 香港",page - 5
92,Ichu,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/ichu,秘魯菜,"中環皇后大道中80號H Queen's 3樓, Hong Kong, 香港",page - 5
93,Écriture,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/ecriture,時尚法國菜,"中環皇后大道中80號H Queen's 26樓, Hong Kong, 香港",page - 5
94,Octavium,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/octavium,意大利菜,"中環德輔道中22號華懋中心一期8樓, Hong Kong, 香港",page - 5
95,Cornerstone,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/cornerstone1185044,時尚歐陸菜,"中環荷里活道49號, Hong Kong, 香港",page - 5
96,六福菜館,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/loaf-on,海鮮,"西貢市場街49號, Hong Kong, 香港",page - 5
97,王府 (中環),https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/wang-fu-central,餃子,"中環威靈頓街65號, Hong Kong, 香港",page - 5
98,營致會館,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/ying-jee-club,粵菜,"中環干諾道中41號盈置大廈地下G05及1樓107-108號舖, Hong Kong, 香港",page - 5
99,富臨飯店,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/forum,粵菜,"銅鑼灣告士打道255-257號信和廣場1樓, Hong Kong, 香港",page - 5
100,Amber,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/amber569032,時尚法國菜,"中環皇后大道中15號置地文華東方酒店7樓, Hong Kong, 香港",page - 6
101,Yakiniku Jumbo,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/yakiniku-jumbo,燒烤,"中環德輔道中68號萬宜大廈3樓302號舖, Hong Kong, 香港",page - 6
102,添好運 (大角咀),https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/tim-ho-wan-tai-kwok-tsui,點心,"大角咀海庭道18號奧海城2期地下72A-C舖, Hong Kong, 香港",page - 6
103,鮨．齋藤,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/sushi-saito,壽司,"中環金融街8號四季酒店45樓, Hong Kong, 香港",page - 6
104,避風塘興記,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/hing-kee,海鮮,"尖沙咀彌敦道180號寶華商業大廈1樓, Hong Kong, 香港",page - 6
105,鼎泰豐 (銅鑼灣),https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/din-tai-fung-causeway-bay,滬菜,"銅鑼灣怡和街68號地下G3-G11號舖, Hong Kong, 香港",page - 6
106,Hanare,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/hanare,日本菜,"中環德輔道中68號萬宜大廈302號舖, Hong Kong, 香港",page - 6
107,天龍軒,https://guide.michelin.com/hk/zh_HK/hong-kong-region/hong-kong/restaurant/tin-lung-heen,粵菜,"尖沙咀柯士甸道西1號環球貿易廣場麗思卡爾頓酒店102樓, Hong Kong, 香港",page - 6
